,tanggal,tweet
0,2023-01-20,@AnakLolina2 Smoga kedepannya GP ada yg mengusung jdi calon presiden 2024 mendatang..
1,2023-01-20,"Muzani menegaskan, keputusan calon presiden dan wakil presiden yang akan maju di Pilpres 2024 ada di tangan Prabowo dan Cak Imin.

capres2024

pemilu2024

dekade08

mendingprabowo"
2,2023-01-20,"Sekjen Muzani menegaskan, keputusan calon presiden dan wakil presiden yang akan maju di Pilpres 2024 ada di tangan Prabowo dan Cak Imin.

capres2024

pemilu2024

dekade08

mendingprabowo"
3,2023-01-20,"Muzani menegaskan, keputusan calon presiden dan wakil presiden yang akan maju di Pilpres 2024 ada di tangan Prabowo dan Cak Imin.

capres2024

pemilu2024

dekade08

mendingprabowo"
4,2023-01-20,"@CNNIndonesia Bukan anggaran covid itu dari pengsung calon presiden mu Anies Baswedan bansos anggaran 2020
Yg nilai 2.8 triliun 10000 ton membusuk 😂😂 terus ditambah koalisimu yg merugikan apbd Papua 7.86 triliun ..
Itu kan buat nanti parpol 2024 yg udh ada dana kan 😂😂🤭🇮🇩🤟"
5,2023-01-20,"Sekjen Muzani menegaskan, keputusan calon presiden dan wakil presiden yang akan maju di Pilpres 2024 ada di tangan Prabowo dan Cak Imin.

capres2024

pemilu2024

dekade08

mendingprabowo"
6,2023-01-20,"Muzani menegaskan, keputusan calon presiden dan wakil presiden yang akan maju di Pilpres 2024 ada di tangan Prabowo dan Cak Imin.

capres2024

pemilu2024

dekade08

mendingprabowo"
7,2023-01-20,"Sekjen Muzani menegaskan, keputusan calon presiden dan wakil presiden yang akan maju di Pilpres 2024 ada di tangan Prabowo dan Cak Imin.

capres2024

pemilu2024

dekade08

mendingprabowo"
8,2023-01-20,"Muzani menegaskan, keputusan calon presiden dan wakil presiden yang akan maju di Pilpres 2024 ada di tangan Prabowo dan Cak Imin.

capres2024

pemilu2024

dekade08

mendingprabowo"
9,2023-01-20,"Sekjen Muzani menegaskan, keputusan calon presiden dan wakil presiden yang akan maju di Pilpres 2024 ada di tangan Prabowo dan Cak Imin.

capres2024

pemilu2024

dekade08

mendingprabowo"
